"Uniprot","Genes","Pathways"
"O43663","PRC1","Cluster 4"
"O43674","NDUFB5","Cluster 4"
"O43676","NDUFB3","Cluster 4"
"O43677","NDUFC1","Cluster 4"
"O43678","NDUFA2","Cluster 5"
"O43681","ASNA1","Cluster 3"
"O43683","BUB1","Cluster 3"
"O43684","BUB3","Cluster 5"
"O43707","ACTN4","Cluster 4"
"O43708","GSTZ1","Cluster 4"
"O43709","BUD23","Cluster 3"
"O43716","GATC","Cluster 5"
"O43719","HTATSF1","Cluster 5"
"O43731","KDELR3","Cluster 3"
"O43734","TRAF3IP2","Cluster 3"
"O43739","CYTH3","Cluster 3"
"O43741","PRKAB2","Cluster 1"
"O43747","AP1G1","Cluster 2"
"O43752","STX6","Cluster 4"
"O43760","SYNGR2","Cluster 3"
"O43761","SYNGR3","Cluster 3"
"O43765","SGTA","Cluster 1"
"O43766","LIAS","Cluster 5"
"O43772","SLC25A20","Cluster 3"
"O43791","SPOP","Cluster 4"
"O43805","SSNA1","Cluster 1"
"O43808","SLC25A17","Cluster 4"
"O43809","NUDT21","Cluster 5"
"O43813","LANCL1","Cluster 2"
